Edible,Cap_Shape,Cap_Surface,Cap-Color,Bruises,Odor,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Color,Stalk_Shape,Stalk_Root,Stalk_Surface_Above_Ring,Stalk_Surface_Below_Ring,Stalk_Color_Above_Ring,Stock_Color_Below_Ring,Veil_Type,Veil_Color,Ring_Number,Ring_Type,Spor_Print_Color,Population,Habitat,Genus,Species
P,C,S,B,F,M,F,W,B,"Y,W",E,?,K,Y,C,C,P,W,O,Z,W,?,D,Lepiota,Josserandi
,,,,,,,,,,,,,,,,,,,,,,,,
P,B,Y,Y,F,N,F,W,N,"Y,W",T,?,S,S,Y,Y,P,Y,O,F,W,?,W,Lepiota,Lutea
,,,,,,,,,,,,,,,,,,,,,,,,
P,X,"S,Y","G,W",F,F,F,W,B,"G,P",T,?,S,S,W,W,P,W,O,P,W,S,G,Lepiota,Naucina
,,,,,,,,,,,,,,,,,,,,,,,,
E,X,"F,Y",W,F,A,F,C,B,W,T,?,Y,Y,W,W,P,W,O,Z,W,?,D,Lepiota,Procera
,,,,,,,,,,,,,,,,,,,,,,,,
P,X,"S,F","W,P",T,P,F,C,B,W,E,?,S,S,W,W,P,W,O,L,W,V,P,Lepiota,Rachodes
,,,,,,,,,,,,,,,,,,,,,,,,
P,X,"S,Y","W,P",N,N,F,C,N,W,E,?,"K,S","K,S",W,W,P,W,O,P,W,?,"W,D",Lepiota,Rubrotincta
,,,,,,,,,,,,,,,,,,,,,,,,
P,X,S,W.P,N,F,A,W,N,W,T,?,S,F,W,W,U,W,O,P,W,,D,Lepiota,Solidipes
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
\,,,,,,,,,,,,,,,,,,,,,,,,